,name,sid,race,college,psat,gpa,honors,var0,var1,var2,var3,var4,var5,var6,var7,var8,var9
108,Edward Shah,109,latino,Cappybara Community College,76.0,1.288537075099185,9,,,,,,,,,,
109,Juan-Pablo Auerbach,110,other,Whale University,131.0,2.943034003965251,9,,,,,,,,,,
110,Matt Meinshausen,111,other,Cappybara Community College,95.0,1.1233857893538859,0,,,,,,,,,,
111,Sam McFowland,112,aa,Starfish University,180.0,2.861110636883984,6,,,,,,,,,,
112,Sophia Velez,113,aa,Whale University,123.0,1.51992155465459,4,,,,,,,,,,
113,Sam Plagge,114,latino,Institute of Banana Harvesting,240,3.8056382060532927,6,,,,,,,,,,
114,Andrea Alice,115,white,Aardvark University,155.0,2.5278161362760034,8,,,,,,,,,,
115,Andrea Leiby,116,white,Aardvark University,99.0,2.035295188568458,3,,,,,,,,,,
116,Varoon D'Agnostino,117,white,Mount Yo-yo College,104.0,1.7094588160518445,5,,,,,,,,,,
117,Sam Jacobs,118,aa,Cappybara Community College,79.0,1.4069032710407314,0,,,,,,,,,,
118,Nathan Ashktorab,119,other,Institute of Banana Harvesting,60,1.4918479399538196,5,,,,,,,,,,
119,Rayid Leiby,120,aa,Aardvark University,97.0,2.398097481255769,10,,,,,,,,,,
120,Sophia Vohra,121,latino,Starfish University,210.0,3.2256893033815985,6,,,,,,,,,,
121,Andrea Adhikari,122,other,Cranberry Lemon University,203.0,3.7635775861498617,5,,,,,,,,,,
122,Sophia Eneva,123,latino,Whale University,115.0,1.2947757756890423,2,,,,,,,,,,
123,Kayla D'Agnostino,124,aa,Institute of Banana Harvesting,65.0,1.162162683791065,6,,,,,,,,,,
124,Rayid Eneva,125,aa,Starfish University,240,3.5536931904673397,5,,,,,,,,,,
125,Sam Adhikari,126,other,Aardvark University,75.0,1.8367548766062596,1,,,,,,,,,,
126,Michelangelo Eneva,127,aa,Whale University,179.0,3.3008445873463166,5,,,,,,,,,,
127,Elena Su,128,latino,Cranberry Lemon University,240,3.9982094591892743,7,,,,,,,,,,
128,Paul Bashyakarla,129,latino,Cappybara Community College,142.0,2.074707795518912,10,,,,,,,,,,
129,Andrea Vohra,130,white,Cranberry Lemon University,240,3.748365264350857,10,,,,,,,,,,
130,Paul Jacobs,131,latino,Aardvark University,104.0,2.304628881089892,4,,,,,,,,,,
131,Nick Gee,132,aa,Whale University,150.0,2.3385836661736863,6,,,,,,,,,,
132,Varoon Brock,133,latino,Cranberry Lemon University,195.0,3.4041815321328777,5,,,,,,,,,,
133,Elena Jacobs,134,other,Whale University,188.0,3.371018469199325,2,,,,,,,,,,
134,Sam Ghani,135,other,Starfish University,228.0,3.3154793651650114,7,,,,,,,,,,
135,Tom Auerbach,136,latino,Whale University,149.0,3.054179273090199,8,,,,,,,,,,
136,Tom Ashktorab,137,latino,Cappybara Community College,95.0,1.449972144704034,9,,,,,,,,,,
137,Matt Ashktorab,138,latino,Aardvark University,148.0,2.481388713375224,4,,,,,,,,,,
138,Michelangelo Plagge,139,other,Mount Yo-yo College,81.0,1.2234546933782635,1,,,,,,,,,,
139,Andrea McFowland,140,white,Whale University,171.0,3.2479198846186557,6,,,,,,,,,,
140,Tom Velez,141,other,Starfish University,171.0,3.412701518696605,6,,,,,,,,,,
141,Rayid Su,142,white,Aardvark University,186.0,3.1994274925821173,8,,,,,,,,,,
142,Matt D'Agnostino,143,latino,Starfish University,156.0,3.265828820206441,9,,,,,,,,,,
143,Jonathan Ashktorab,144,other,Cappybara Community College,175.0,2.439631478702452,10,,,,,,,,,,
144,Michelangelo Eneva,145,latino,Aardvark University,146.0,2.4407158705737935,6,,,,,,,,,,
145,Nihar Plagge,146,other,Cranberry Lemon University,240,3.8852398457626265,7,,,,,,,,,,
146,Nihar Ashktorab,147,white,Institute of Banana Harvesting,60,1.5389552534176674,2,,,,,,,,,,
147,Zahra Ghani,148,latino,Starfish University,224.0,3.979410126506875,0,,,,,,,,,,
148,Sophia Eneva,149,white,Whale University,198.0,2.994280460622466,3,,,,,,,,,,
149,Chris Mader,150,latino,Mount Yo-yo College,60,1.4081729037259099,3,,,,,,,,,,
150,John Adhikari,151,other,Cranberry Lemon University,240,3.871021717825113,8,,,,,,,,,,
151,Nathan Leiby,152,latino,Starfish University,159.0,2.3589887184860103,4,,,,,,,,,,
152,Andrea Adhikari,153,latino,Institute of Banana Harvesting,60,1.490837051151141,10,,,,,,,,,,
153,Varoon Su,154,white,Cranberry Lemon University,229.0,3.8196033461230443,1,,,,,,,,,,
154,Jonathan Gee,155,aa,Aardvark University,71.0,1.2612256164287086,1,,,,,,,,,,
155,Andrea Lin,156,latino,Starfish University,180.0,2.8653765344583997,1,,,,,,,,,,
156,Matt Velez,157,other,Institute of Banana Harvesting,128.0,2.6208109861867723,3,,,,,,,,,,
157,Matt Ashktorab,158,latino,Aardvark University,153.0,3.1031288383098383,7,,,,,,,,,,
158,Nathan Brock,159,other,Whale University,193.0,3.3444694734015363,0,,,,,,,,,,
159,Tom Ashktorab,160,other,Whale University,125.0,2.8082524332026804,9,,,,,,,,,,
160,Allen Su,161,latino,Starfish University,154.0,3.191402318286713,7,,,,,,,,,,
161,Nihar Ashktorab,162,white,Whale University,196.0,3.4956766886194677,8,,,,,,,,,,
162,Sam Velez,163,other,Institute of Banana Harvesting,60,1.2679287291199923,5,,,,,,,,,,
163,Juan-Pablo Rowe,164,other,Mount Yo-yo College,73.0,1.828241707762582,5,,,,,,,,,,
164,Edward Velez,165,aa,Starfish University,234.0,3.2130775189432392,6,,,,,,,,,,
165,Sam Shah,166,latino,Cranberry Lemon University,240,3.8159823845375067,3,,,,,,,,,,
166,Sam Plagge,167,white,Institute of Banana Harvesting,60,1.002354687061892,8,,,,,,,,,,
167,John Bashyakarla,168,other,Whale University,240,3.496790784558289,7,,,,,,,,,,
168,Vidhur Eneva,169,latino,Cranberry Lemon University,240,3.6920656779562258,0,,,,,,,,,,
169,Juan-Pablo Ashktorab,170,latino,Aardvark University,127.0,2.9116324198532015,3,,,,,,,,,,
170,Nick Adhikari,171,white,Aardvark University,78.0,2.061118548300952,0,,,,,,,,,,
171,Nihar Gee,172,latino,Mount Yo-yo College,60,1.0878008484586479,8,,,,,,,,,,
172,Tom Auerbach,173,aa,Whale University,77.0,1.3983529997382955,4,,,,,,,,,,
173,Sam Plagge,174,latino,Institute of Banana Harvesting,60,1.4642760357888167,8,,,,,,,,,,
174,Kayla Ghani,175,aa,Cappybara Community College,132.0,1.8483283026245823,3,,,,,,,,,,
175,Tom Mader,176,aa,Whale University,207.0,2.933960166422543,0,,,,,,,,,,
176,Edward Leiby,177,aa,Cappybara Community College,114.0,2.238135930015714,3,,,,,,,,,,
177,Jonathan Ashktorab,178,latino,Starfish University,225.0,3.6393198161506644,3,,,,,,,,,,
178,Elena Bashyakarla,179,latino,Aardvark University,119.0,1.907982283557489,2,,,,,,,,,,
179,Chris Rowe,180,white,Institute of Banana Harvesting,61.0,1.2639412589377812,3,,,,,,,,,,
180,Edward Lin,181,latino,Starfish University,191.0,3.451841879989858,10,,,,,,,,,,
181,Juan-Pablo Brown,182,latino,Cappybara Community College,74.0,1.8019144219700776,3,,,,,,,,,,
182,Allen Brown,183,aa,Cappybara Community College,153.0,3.0236184534318804,5,,,,,,,,,,
183,Paul Mader,184,white,Institute of Banana Harvesting,68.0,1.8028621118007875,3,,,,,,,,,,
184,Jonathan D'Agnostino,185,latino,Starfish University,206.0,3.3046761638077995,9,,,,,,,,,,
185,Kayla Vohra,186,latino,Whale University,218.0,3.540360665064675,7,,,,,,,,,,
186,Jonathan Meinshausen,187,white,Starfish University,160.0,3.1364973124966524,6,,,,,,,,,,
187,Chris Leiby,188,latino,Cranberry Lemon University,240,3.3756491084710065,6,,,,,,,,,,
188,Sophia Lin,189,latino,Institute of Banana Harvesting,60,1.4841160806503333,2,,,,,,,,,,
189,Michelangelo Su,190,white,Whale University,196.0,2.50059592431829,9,,,,,,,,,,
190,Jonathan Brock,191,latino,Mount Yo-yo College,110.0,1.69953663879491,2,,,,,,,,,,
191,Sam Mader,192,aa,Starfish University,240,3.808520747372544,10,,,,,,,,,,
192,Kayla Leiby,193,aa,Whale University,156.0,1.8231705839880985,5,,,,,,,,,,
193,Paul Brown,194,aa,Starfish University,240,3.9942150777119787,3,,,,,,,,,,
194,Vidhur D'Agnostino,195,aa,Aardvark University,117.0,1.789003349221098,5,,,,,,,,,,
195,Sam Meinshausen,196,other,Aardvark University,140.0,2.7179823094262545,1,,,,,,,,,,
196,Elena Auerbach,197,white,Cappybara Community College,134.0,2.4786441930872334,5,,,,,,,,,,
197,John Auerbach,198,other,Mount Yo-yo College,60,1.4901874938942243,10,,,,,,,,,,
198,Jonathan Vohra,199,white,Institute of Banana Harvesting,133.0,2.8814855985708716,6,,,,,,,,,,
199,Sophia Auerbach,200,aa,Starfish University,142.0,1.7449408640999924,7,,,,,,,,,,
200,Nathan Alice,201,latino,Cranberry Lemon University,211.0,3.5872520319587324,7,,,,,,,,,,
201,Nihar Vohra,202,aa,Aardvark University,137.0,2.065563800578804,0,,,,,,,,,,
202,John Brock,203,latino,Whale University,156.0,2.895291926920023,4,,,,,,,,,,
203,Chris Jacobs,204,latino,Cappybara Community College,137.0,2.7675126771874656,6,,,,,,,,,,
204,Sophia Ghani,205,aa,Starfish University,132.0,1.3847199887746808,4,,,,,,,,,,
205,Edward Adhikari,206,other,Cranberry Lemon University,240,3.9795598245338173,10,,,,,,,,,,
206,Nihar Eneva,207,aa,Starfish University,191.0,3.532842700327723,0,,,,,,,,,,
207,Juan-Pablo Lin,208,other,Cranberry Lemon University,240,3.7363037320713786,3,,,,,,,,,,
208,Jonathan Vohra,209,aa,Cappybara Community College,60,1.5876819171656917,4,,,,,,,,,,
209,Tom Gee,210,latino,Mount Yo-yo College,60,1.378685046507743,10,,,,,,,,,,
210,Michelangelo D'Agnostino,211,aa,Whale University,162.0,2.8320222993573196,9,,,,,,,,,,
211,Michelangelo Shah,212,other,Cappybara Community College,118.0,2.130219528568288,3,,,,,,,,,,
212,Elena Velez,213,aa,Cranberry Lemon University,198.0,3.126542233141548,5,,,,,,,,,,
213,Andrea Auerbach,214,latino,Cranberry Lemon University,176.0,2.957507155309775,2,,,,,,,,,,
214,Rayid Gee,215,aa,Institute of Banana Harvesting,94.0,1.4585921496137226,7,,,,,,,,,,
215,Paul Ashktorab,216,latino,Mount Yo-yo College,105.0,1.6490338887357168,4,,,,,,,,,,
216,Vidhur Su,217,latino,Mount Yo-yo College,113.0,1.770318161812942,2,,,,,,,,,,
217,Michelangelo Leiby,218,other,Starfish University,238.0,3.2440408218898567,6,,,,,,,,,,
218,Nihar Eneva,219,aa,Mount Yo-yo College,127.0,1.9668019705227444,9,,,,,,,,,,
219,Nick Meinshausen,220,aa,Starfish University,202.0,3.728857313993378,9,,,,,,,,,,
220,Sophia Velez,221,latino,Cranberry Lemon University,236.0,3.1749766844726173,1,,,,,,,,,,
221,Sam Brown,222,aa,Whale University,178.0,3.1613426742122512,4,,,,,,,,,,
222,Michelangelo Rowe,223,latino,Mount Yo-yo College,68.0,1.0257860342786431,4,,,,,,,,,,
223,Nick Gee,224,other,Mount Yo-yo College,90.0,1.0420259815524213,5,,,,,,,,,,
224,Edward Velez,225,aa,Cranberry Lemon University,240,3.8200478180587085,4,,,,,,,,,,
225,Nathan Lin,226,other,Starfish University,209.0,3.433818665334802,2,,,,,,,,,,
226,Edward Bashyakarla,227,white,Aardvark University,138.0,1.6120105446469806,6,,,,,,,,,,
227,Varoon Velez,228,white,Institute of Banana Harvesting,159.0,1.890503740175102,1,,,,,,,,,,
228,Nathan Brock,229,latino,Institute of Banana Harvesting,60,1.5285185915154265,4,,,,,,,,,,
229,Zahra Vohra,230,latino,Aardvark University,61.0,1.0793446048691422,5,,,,,,,,,,
230,Nihar Rowe,231,latino,Institute of Banana Harvesting,240,3.4216951364732306,0,,,,,,,,,,
231,Paul Lin,232,other,Cappybara Community College,145.0,1.889587836132454,3,,,,,,,,,,
232,Jonathan McFowland,233,white,Whale University,148.0,2.18964313568235,6,,,,,,,,,,
233,Vidhur Lin,234,latino,Starfish University,211.0,3.141551049656198,4,,,,,,,,,,
234,Zahra Auerbach,235,aa,Cranberry Lemon University,240,3.799621994371446,5,,,,,,,,,,
235,Juan-Pablo Rowe,236,other,Starfish University,238.0,3.378463801420904,8,,,,,,,,,,
236,Zahra Brown,237,white,Aardvark University,158.0,1.8452024186255325,1,,,,,,,,,,
237,Edward Rowe,238,other,Whale University,196.0,2.8050266680302256,7,,,,,,,,,,
238,Chris Auerbach,239,white,Whale University,170.0,2.3680519645490508,4,,,,,,,,,,
239,Sophia Meinshausen,240,aa,Aardvark University,98.0,2.344685213354802,0,,,,,,,,,,
240,Zahra Plagge,241,other,Aardvark University,93.0,1.2007380994041335,9,,,,,,,,,,
241,Sophia Su,242,white,Cranberry Lemon University,240.0,3.533464591057358,3,,,,,,,,,,
242,Matt McFowland,243,latino,Whale University,185.0,3.8455828924570152,7,,,,,,,,,,
243,Varoon Ghani,244,white,Whale University,141.0,2.909732922860216,8,,,,,,,,,,
244,John Jacobs,245,other,Cranberry Lemon University,189.0,2.872079010372399,5,,,,,,,,,,
245,Nihar Eneva,246,latino,Starfish University,217.0,3.309299613075943,1,,,,,,,,,,
246,Tom Lin,247,latino,Cappybara Community College,89.0,1.9775286451314606,2,,,,,,,,,,
247,Kayla Jacobs,248,aa,Cranberry Lemon University,240,3.7888330803379104,5,,,,,,,,,,
248,Matt Shah,249,white,Whale University,168.0,2.9068971375282704,7,,,,,,,,,,
249,Nihar Brown,250,white,Starfish University,205.0,3.426575226006606,10,,,,,,,,,,
250,Kayla Ghani,251,other,Mount Yo-yo College,60,1.2934706368242495,0,,,,,,,,,,
251,Sam Adhikari,252,aa,Cappybara Community College,95.0,1.3310198221080314,9,,,,,,,,,,
252,Sam Leiby,253,other,Aardvark University,89.0,1.9226181334785997,9,,,,,,,,,,
253,Kayla Brock,254,latino,Cappybara Community College,155.0,2.344499046102701,1,,,,,,,,,,
254,Varoon Gee,255,aa,Whale University,146.0,2.1357430147945733,1,,,,,,,,,,
255,Nihar Alice,256,aa,Mount Yo-yo College,87.0,1.8229266534745208,6,,,,,,,,,,
256,Sam Jacobs,257,other,Starfish University,232.0,3.9041590814513376,3,,,,,,,,,,
257,Vidhur Ghani,258,white,Whale University,178.0,2.8092006868992323,4,,,,,,,,,,
258,Edward Vohra,259,white,Cranberry Lemon University,240,3.7189048433842666,8,,,,,,,,,,
259,Sam McFowland,260,latino,Aardvark University,132.0,2.235341005342346,7,,,,,,,,,,
260,Zahra Velez,261,white,Aardvark University,119.0,1.2144306739761355,9,,,,,,,,,,
261,John Shah,262,other,Whale University,175.0,2.634665421447493,2,,,,,,,,,,
262,Sophia Mader,263,aa,Institute of Banana Harvesting,104.0,1.9944351532357267,8,,,,,,,,,,
263,Rayid Mader,264,aa,Cranberry Lemon University,231.0,3.6954424017111442,8,,,,,,,,,,
264,John Plagge,265,latino,Whale University,147.0,3.0131223970420358,5,,,,,,,,,,
265,Varoon Brock,266,aa,Institute of Banana Harvesting,116.0,1.4696730973471814,0,,,,,,,,,,
266,Nick Brock,267,white,Cranberry Lemon University,240,3.919010175663818,7,,,,,,,,,,
267,Chris Brock,268,other,Mount Yo-yo College,93.0,1.6888148268779384,10,,,,,,,,,,
268,Nathan Gee,269,aa,Starfish University,118.0,2.2983011479624924,7,,,,,,,,,,
269,Allen Plagge,270,white,Cappybara Community College,116.0,1.3394102954082348,4,,,,,,,,,,
270,Edward Meinshausen,271,aa,Aardvark University,110.0,2.3739142754785996,4,,,,,,,,,,
271,Paul Vohra,272,other,Starfish University,240,3.8634993989877096,5,,,,,,,,,,
272,Rayid Mader,273,other,Institute of Banana Harvesting,151.0,2.111175076493165,5,,,,,,,,,,
273,Rayid Rowe,274,latino,Cranberry Lemon University,155.0,3.193268005352038,7,,,,,,,,,,
274,Matt Leiby,275,other,Starfish University,214.0,3.065835831842573,9,,,,,,,,,,
275,Andrea Meinshausen,276,other,Starfish University,188.0,3.4716794514481935,2,,,,,,,,,,
276,John Velez,277,latino,Whale University,173.0,3.0737052837389234,1,,,,,,,,,,
277,Matt D'Agnostino,278,other,Cranberry Lemon University,240,3.6234166179271914,8,,,,,,,,,,
278,Matt Leiby,279,latino,Aardvark University,150.0,3.341893209017115,2,,,,,,,,,,
279,Sophia Auerbach,280,white,Cappybara Community College,99.0,1.284659542766358,9,,,,,,,,,,
280,Nihar Velez,281,aa,Mount Yo-yo College,60,1.165388206510562,5,,,,,,,,,,
281,Varoon Alice,282,latino,Starfish University,227.0,3.600870878961799,4,,,,,,,,,,
282,Zahra Plagge,283,white,Starfish University,173.0,3.2934676129696134,9,,,,,,,,,,
283,Varoon Shah,284,aa,Institute of Banana Harvesting,80.0,2.056121699085633,10,,,,,,,,,,
284,Nathan Brock,285,latino,Aardvark University,99.0,1.252860850642405,2,,,,,,,,,,
285,Jonathan Brown,286,white,Mount Yo-yo College,60,1.5592905186938664,3,,,,,,,,,,
286,Kayla Brown,287,aa,Aardvark University,126.0,2.6564921370269086,8,,,,,,,,,,
287,Sam Meinshausen,288,latino,Whale University,173.0,2.749088518253692,0,,,,,,,,,,
288,Jonathan Vohra,289,white,Mount Yo-yo College,121.0,1.4213508782149615,4,,,,,,,,,,
